Company,Location,Date,Time,Rocket,Mission,RocketStatus,Price,MissionStatus
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",1957-10-04,19:28:00,Sputnik 8K71PS,Sputnik-1,Retired,,Success
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",1957-11-03,02:30:00,Sputnik 8K71PS,Sputnik-2,Retired,,Success
US Navy,"LC-18A, Cape Canaveral AFS, Florida, USA",1957-12-06,16:44:00,Vanguard,Vanguard TV3,Retired,,Failure
AMBA,"LC-26A, Cape Canaveral AFS, Florida, USA",1958-02-01,03:48:00,Juno I,Explorer 1,Retired,,Success
US Navy,"LC-18A, Cape Canaveral AFS, Florida, USA",1958-02-05,07:33:00,Vanguard,Vanguard TV3BU,Retired,,Failure
AMBA,"LC-26A, Cape Canaveral AFS, Florida, USA",1958-03-05,18:27:00,Juno I,Explorer 2,Retired,,Failure
US Navy,"LC-18A, Cape Canaveral AFS, Florida, USA",1958-03-17,12:15:00,Vanguard,Vanguard 1,Retired,,Success
AMBA,"LC-5, Cape Canaveral AFS, Florida, USA",1958-03-26,17:38:00,Juno I,Explorer 3,Retired,,Success
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",1958-04-27,09:01:00,Sputnik 8A91,Sputnik-3 #1,Retired,,Failure
US Navy,"LC-18A, Cape Canaveral AFS, Florida, USA",1958-04-28,02:53:00,Vanguard,Vanguard TV5,Retired,,Failure
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",1958-05-15,07:12:00,Sputnik 8A91,Sputnik-3 #2,Retired,,Success
US Navy,"LC-18A, Cape Canaveral AFS, Florida, USA",1958-05-28,03:46:00,Vanguard,Vanguard SLV-1,Retired,,Failure
US Navy,"LC-18A, Cape Canaveral AFS, Florida, USA",1958-06-26,05:00:00,Vanguard,Vanguard SLV-2,Retired,,Failure
US Navy,"Douglas F4D Skyray, Naval Air Station Point Mugu, California, USA",1958-07-25,,NOTS-EV-1 Pilot II,Pilot-1 (D1),Retired,,Failure
AMBA,"LC-5, Cape Canaveral AFS, Florida, USA",1958-07-26,15:00:00,Juno I,Explorer 4,Retired,,Success
US Navy,"Douglas F4D Skyray, Naval Air Station Point Mugu, California, USA",1958-08-12,,NOTS-EV-1 Pilot II,Pilot-2 (D2),Retired,,Failure
US Air Force,"SLC-17A, Cape Canaveral AFS, Florida, USA",1958-08-17,12:18:00,Thor-DM 18 Able I,Pioneer 0,Retired,,Failure
US Navy,"Douglas F4D Skyray, Naval Air Station Point Mugu, California, USA",1958-08-22,,NOTS-EV-1 Pilot II,Pilot-3 (D3),Retired,,Failure
AMBA,"LC-5, Cape Canaveral AFS, Florida, USA",1958-08-24,06:17:00,Juno I,Explorer 5,Retired,,Failure
US Navy,"Douglas F4D Skyray, Naval Air Station Point Mugu, California, USA",1958-08-25,,NOTS-EV-1 Pilot II,Pilot-4 (R1),Retired,,Failure
